# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_310005.0650877345
# 
Resultados:
# tau_ns_=_(4.12+/-0.17)e+01
# dphi_rad_=_6.36+/-0.00
# SAR_W/g_=_33.33+/-2.82
# Hc_kA/m_=_1.93+/-0.08
# Mr_A/m_=_17.35+/-1.39
# Magnetizacion_max_emu/g_=_16.7+/-1.0
# Suceptibilidad_a_M=0_=_(9.080+/-0.550)e-03

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_050dA_100Mss_bobN13A0010.txt		20.00	19.42	1.97	19878.50	188.98	3.100089e+05	7.285226e+00	6.365258e+00	38.56	42.229165	4516	1.003e-02
300kHz_050dA_100Mss_bobN13A0011.txt		20.00	20.52	2.02	19878.50	189.07	3.100089e+05	7.269134e+00	6.363591e+00	37.70	41.368501	4516	1.036e-02
300kHz_050dA_100Mss_bobN13A0012.txt		20.00	19.62	1.96	19878.50	187.43	3.100089e+05	7.209561e+00	6.366778e+00	38.87	43.015408	4516	1.021e-02
300kHz_050dA_100Mss_bobN13A0013.txt		20.00	19.50	1.97	19878.50	184.01	3.100089e+05	7.100361e+00	6.368885e+00	39.24	44.104612	4516	1.000e-02
300kHz_050dA_100Mss_bobN13A0014.txt		20.00	19.23	1.97	19878.50	183.14	3.100089e+05	7.052578e+00	6.365216e+00	37.31	42.208180	4516	9.913e-03
300kHz_050dA_100Mss_bobN13A0015.txt		20.00	20.09	2.10	19878.50	177.93	3.100089e+05	6.861929e+00	6.370039e+00	38.43	44.702007	4516	9.757e-03
300kHz_050dA_100Mss_bobN13A0016.txt		20.00	17.85	1.91	19878.50	175.95	3.100089e+05	6.788471e+00	6.361718e+00	34.38	40.400670	4516	9.480e-03
300kHz_050dA_100Mss_bobN13A0017.txt		20.00	17.71	1.90	19878.50	174.41	3.100089e+05	6.707128e+00	6.364349e+00	35.11	41.759904	4516	9.466e-03
300kHz_050dA_100Mss_bobN13A0018.txt		20.00	17.34	1.88	19878.50	174.33	3.100089e+05	6.694538e+00	6.357488e+00	32.09	38.216048	4516	9.441e-03
300kHz_050dA_100Mss_bobN13A0019.txt		20.00	18.08	2.00	19878.50	168.95	3.100089e+05	6.541529e+00	6.365354e+00	34.66	42.279464	4516	9.160e-03
300kHz_050dA_100Mss_bobN13A0020.txt		20.00	17.58	1.92	19878.50	169.86	3.100089e+05	6.533194e+00	6.360657e+00	32.65	39.852801	4516	9.279e-03
300kHz_050dA_100Mss_bobN13A0021.txt		20.00	17.53	1.96	19878.50	167.64	3.100089e+05	6.483746e+00	6.363282e+00	33.49	41.208718	4516	9.034e-03
300kHz_050dA_100Mss_bobN13A0022.txt		20.00	16.07	1.82	19878.50	166.99	3.100089e+05	6.414865e+00	6.360408e+00	31.95	39.724135	4516	8.871e-03
300kHz_050dA_100Mss_bobN13A0023.txt		20.00	17.25	1.94	19878.50	165.42	3.100089e+05	6.369048e+00	6.363041e+00	32.80	41.084285	4516	9.030e-03
300kHz_050dA_100Mss_bobN13A0024.txt		20.00	17.28	1.91	19878.50	166.93	3.100089e+05	6.394662e+00	6.365052e+00	33.76	42.123742	4516	9.153e-03
300kHz_050dA_100Mss_bobN13A0025.txt		20.00	17.06	1.94	19878.50	166.34	3.100089e+05	6.400213e+00	6.364616e+00	33.61	41.898275	4516	8.866e-03
300kHz_050dA_100Mss_bobN13A0026.txt		20.00	17.05	1.98	19878.50	163.47	3.100089e+05	6.331004e+00	6.359330e+00	31.09	39.167987	4516	8.758e-03
300kHz_050dA_100Mss_bobN13A0027.txt		20.00	17.34	2.00	19878.50	161.94	3.100089e+05	6.236503e+00	6.364730e+00	32.80	41.957657	4516	8.823e-03
300kHz_050dA_100Mss_bobN13A0028.txt		20.00	17.07	1.93	19878.50	161.41	3.100089e+05	6.198498e+00	6.364227e+00	32.40	41.698052	4516	8.920e-03
300kHz_050dA_100Mss_bobN13A0029.txt		20.00	17.47	2.07	19878.50	160.10	3.100089e+05	6.188266e+00	6.365213e+00	32.74	42.207075	4516	8.589e-03
300kHz_050dA_100Mss_bobN13A0030.txt		20.00	16.22	1.86	19878.50	160.99	3.100089e+05	6.183315e+00	6.361291e+00	31.15	40.180532	4516	8.831e-03
300kHz_050dA_100Mss_bobN13A0031.txt		20.00	16.69	1.91	19878.50	161.81	3.100089e+05	6.212416e+00	6.364978e+00	32.77	42.085862	4516	8.786e-03
300kHz_050dA_100Mss_bobN13A0032.txt		20.00	16.40	1.92	19878.50	159.37	3.100089e+05	6.136382e+00	6.366974e+00	33.16	43.117650	4516	8.584e-03
300kHz_050dA_100Mss_bobN13A0033.txt		20.00	17.26	2.03	19878.50	158.29	3.100089e+05	6.103253e+00	6.367702e+00	33.26	43.494571	4516	8.626e-03
300kHz_050dA_100Mss_bobN13A0034.txt		20.00	15.03	1.74	19878.50	158.66	3.100089e+05	6.062628e+00	6.357520e+00	29.07	38.233348	4516	8.654e-03
300kHz_050dA_100Mss_bobN13A0035.txt		20.00	15.04	1.77	19878.50	159.53	3.100089e+05	6.120807e+00	6.358378e+00	29.69	38.677011	4516	8.560e-03
300kHz_050dA_100Mss_bobN13A0036.txt		20.00	15.83	1.87	19878.50	158.65	3.100089e+05	6.115920e+00	6.360956e+00	30.68	40.007961	4516	8.555e-03
300kHz_050dA_100Mss_bobN13A0037.txt		20.00	16.14	1.87	19878.50	158.74	3.100089e+05	6.082272e+00	6.356667e+00	28.83	37.793816	4516	8.764e-03
300kHz_050dA_100Mss_bobN13A0038.txt		20.00	15.91	1.90	19878.50	158.81	3.100089e+05	6.096815e+00	6.363381e+00	31.53	41.260702	4516	8.414e-03
300kHz_050dA_100Mss_bobN13A0039.txt		20.00	15.38	1.87	19878.50	154.43	3.100089e+05	5.964880e+00	6.362062e+00	30.35	40.579838	4516	8.298e-03
