# 250604_11:40:37.450360
t	CH1	CH2
0.000000e+00	-4.752571e-03	6.389025e+00
1.000000e-08	-5.895958e-03	6.388399e+00
2.000000e-08	-7.764431e-03	6.346389e+00
3.000000e-08	-7.331227e-03	6.325792e+00
4.000000e-08	-6.683838e-03	6.262807e+00
5.000000e-08	-6.805836e-03	6.252103e+00
6.000000e-08	-7.386762e-03	6.158998e+00
7.000000e-08	-6.813579e-03	6.126821e+00
8.000000e-08	-6.030932e-03	6.086211e+00
9.000000e-08	-6.185677e-03	6.082079e+00
1.000000e-07	-7.354898e-03	6.010525e+00
1.100000e-07	-7.248554e-03	5.978997e+00
1.200000e-07	-7.522281e-03	5.916795e+00
1.300000e-07	-6.209765e-03	5.813102e+00
1.400000e-07	-6.529340e-03	5.714322e+00
1.500000e-07	-7.051728e-03	5.631080e+00
1.600000e-07	-7.356436e-03	5.599974e+00
1.700000e-07	-6.044319e-03	5.537315e+00
1.800000e-07	-6.410640e-03	5.452657e+00
1.900000e-07	-6.775180e-03	5.399524e+00
2.000000e-07	-7.048868e-03	5.336290e+00
2.100000e-07	-6.549521e-03	5.242627e+00
2.200000e-07	-6.045775e-03	5.139921e+00
2.300000e-07	-6.137072e-03	5.030602e+00
2.400000e-07	-6.931659e-03	4.896285e+00
2.500000e-07	-7.749963e-03	4.821050e+00
2.600000e-07	-7.777113e-03	4.768870e+00
2.700000e-07	-6.571310e-03	4.663159e+00
2.800000e-07	-6.429855e-03	4.560397e+00
2.900000e-07	-6.742178e-03	4.485681e+00
3.000000e-07	-6.112854e-03	4.441525e+00
3.100000e-07	-7.042499e-03	4.308862e+00
3.200000e-07	-6.880070e-03	4.181469e+00
3.300000e-07	-7.275694e-03	4.033178e+00
3.400000e-07	-6.807859e-03	3.989898e+00
3.500000e-07	-6.438660e-03	3.885232e+00
3.600000e-07	-6.565843e-03	3.760522e+00
3.700000e-07	-6.950393e-03	3.695259e+00
3.800000e-07	-6.130413e-03	3.590549e+00
3.900000e-07	-5.925508e-03	3.517791e+00
4.000000e-07	-6.156579e-03	3.337423e+00
4.100000e-07	-5.988215e-03	3.210002e+00
4.200000e-07	-6.232269e-03	3.086840e+00
4.300000e-07	-6.626262e-03	3.022101e+00
4.400000e-07	-6.294032e-03	2.916787e+00
4.500000e-07	-6.400191e-03	2.811053e+00
4.600000e-07	-6.189421e-03	2.717362e+00
4.700000e-07	-6.698944e-03	2.602843e+00
4.800000e-07	-5.593994e-03	2.429580e+00
4.900000e-07	-5.625978e-03	2.307814e+00
5.000000e-07	-5.490795e-03	2.169946e+00
5.100000e-07	-6.606461e-03	2.063782e+00
5.200000e-07	-5.959226e-03	1.970523e+00
5.300000e-07	-6.097937e-03	1.915183e+00
5.400000e-07	-5.676677e-03	1.716391e+00
5.500000e-07	-6.163925e-03	1.641524e+00
5.600000e-07	-5.589156e-03	1.494657e+00
5.700000e-07	-5.265429e-03	1.349391e+00
5.800000e-07	-4.776207e-03	1.252101e+00
5.900000e-07	-5.868457e-03	1.065752e+00
6.000000e-07	-5.659199e-03	9.267794e-01
6.100000e-07	-4.762579e-03	7.794475e-01
6.200000e-07	-4.351357e-03	6.452341e-01
6.300000e-07	-5.455311e-03	5.083133e-01
6.400000e-07	-5.537518e-03	4.226015e-01
6.500000e-07	-5.031054e-03	3.273383e-01
6.600000e-07	-4.356558e-03	1.808873e-01
6.700000e-07	-1.638449e-03	1.207639e-02
6.800000e-07	8.641723e-04	-8.273807e-02
6.900000e-07	-3.229741e-04	-2.094499e-01
7.000000e-07	5.572713e-05	-3.027132e-01
7.100000e-07	-1.195254e-03	-4.095238e-01
7.200000e-07	-1.927936e-03	-5.122918e-01
7.300000e-07	-4.570745e-03	-6.925332e-01
7.400000e-07	-1.275870e-03	-7.994472e-01
7.500000e-07	3.360070e-02	-8.936066e-01
7.600000e-07	7.539529e-02	-9.678946e-01
7.700000e-07	-1.534382e-02	-1.140789e+00
7.800000e-07	-3.825608e-02	-1.332420e+00
7.900000e-07	-9.233715e-02	-1.525871e+00
8.000000e-07	1.082465e-02	-1.670503e+00
8.100000e-07	6.845366e-02	-1.671181e+00
8.200000e-07	-1.080308e-01	-1.818524e+00
8.300000e-07	-3.369636e-03	-1.926268e+00
8.400000e-07	1.270267e-01	-2.028951e+00
8.500000e-07	-8.529543e-02	-2.093845e+00
8.600000e-07	-2.826025e-02	-2.295245e+00
8.700000e-07	8.507302e-02	-2.399949e+00
8.800000e-07	-8.864380e-02	-2.543737e+00
8.900000e-07	1.566120e-02	-2.662057e+00
9.000000e-07	6.514449e-02	-2.704215e+00
9.100000e-07	-6.897691e-02	-2.859531e+00
9.200000e-07	8.000564e-02	-2.986925e+00
9.300000e-07	6.991912e-03	-3.115689e+00
9.400000e-07	-7.941215e-02	-3.229030e+00
9.500000e-07	4.816844e-02	-3.326767e+00
9.600000e-07	-6.110520e-02	-3.440556e+00
9.700000e-07	4.770870e-03	-3.536321e+00
9.800000e-07	6.984689e-02	-3.609478e+00
9.900000e-07	-2.516342e-02	-3.745790e+00
1.000000e-06	1.800588e-02	-3.892636e+00
1.010000e-06	-1.112566e-02	-4.007499e+00
1.020000e-06	7.333308e-03	-4.082091e+00
1.030000e-06	-1.640191e-02	-4.198400e+00
1.040000e-06	-3.377193e-02	-4.262184e+00
1.050000e-06	4.296753e-02	-4.378395e+00
1.060000e-06	-1.337574e-02	-4.429477e+00
1.070000e-06	2.758001e-02	-4.527243e+00
1.080000e-06	1.437973e-02	-4.638474e+00
1.090000e-06	-3.935611e-02	-4.726868e+00
1.100000e-06	2.785791e-02	-4.765346e+00
1.110000e-06	-2.325273e-02	-4.905663e+00
1.120000e-06	-1.950218e-03	-4.989026e+00
1.130000e-06	7.914818e-03	-5.072083e+00
1.140000e-06	-8.315506e-03	-5.175371e+00
1.150000e-06	3.289609e-02	-5.220027e+00
1.160000e-06	-7.029230e-03	-5.303796e+00
1.170000e-06	-8.948650e-04	-5.490485e+00
1.180000e-06	-1.374398e-02	-5.525366e+00
1.190000e-06	-2.455448e-03	-5.599476e+00
1.200000e-06	9.688354e-03	-5.652034e+00
1.210000e-06	-1.059260e-02	-5.736321e+00
1.220000e-06	1.402996e-02	-5.778978e+00
1.230000e-06	-4.834121e-03	-5.841106e+00
1.240000e-06	6.689940e-03	-5.945767e+00
1.250000e-06	2.945000e-03	-5.967897e+00
1.260000e-06	-1.104806e-02	-6.028928e+00
1.270000e-06	1.466181e-03	-6.032033e+00
1.280000e-06	-3.800671e-03	-6.093269e+00
1.290000e-06	7.934681e-03	-6.157828e+00
1.300000e-06	2.403760e-03	-6.301611e+00
1.310000e-06	1.376435e-04	-6.323214e+00
1.320000e-06	-2.749617e-04	-6.357317e+00
1.330000e-06	-1.860205e-03	-6.388475e+00
1.340000e-06	1.558428e-03	-6.439503e+00
1.350000e-06	-5.153400e-03	-6.442056e+00
1.360000e-06	2.380697e-03	-6.463108e+00
1.370000e-06	1.261109e-03	-6.493613e+00
1.380000e-06	3.316076e-03	-6.535665e+00
1.390000e-06	3.446904e-03	-6.534689e+00
1.400000e-06	-3.248613e-03	-6.578471e+00
1.410000e-06	-1.497166e-03	-6.609023e+00
1.420000e-06	-1.174406e-03	-6.590955e+00
1.430000e-06	1.063483e-03	-6.609951e+00
1.440000e-06	5.655562e-04	-6.630580e+00
1.450000e-06	2.764704e-04	-6.662053e+00
1.460000e-06	1.611037e-03	-6.670450e+00
1.470000e-06	3.136572e-03	-6.623082e+00
1.480000e-06	1.009986e-03	-6.641529e+00
1.490000e-06	-2.272558e-03	-6.662560e+00
