# 250604_11:51:13.626842
t	CH1	CH2
0.000000e+00	-1.136561e-02	8.568501e+00
1.000000e-08	-1.203691e-02	8.555819e+00
2.000000e-08	-1.337538e-02	8.504267e+00
3.000000e-08	-1.355198e-02	8.483561e+00
4.000000e-08	-1.300386e-02	8.420509e+00
5.000000e-08	-1.226093e-02	8.368374e+00
6.000000e-08	-1.261893e-02	8.334741e+00
7.000000e-08	-1.117873e-02	8.222135e+00
8.000000e-08	-1.136502e-02	8.138401e+00
9.000000e-08	-1.050122e-02	8.164191e+00
1.000000e-07	-1.062373e-02	8.000661e+00
1.100000e-07	-1.231935e-02	7.947923e+00
1.200000e-07	-1.308782e-02	7.833138e+00
1.300000e-07	-1.122008e-02	7.808478e+00
1.400000e-07	-1.126911e-02	7.707188e+00
1.500000e-07	-1.015136e-02	7.590534e+00
1.600000e-07	-1.069541e-02	7.506373e+00
1.700000e-07	-1.002161e-02	7.401584e+00
1.800000e-07	-9.272045e-03	7.253717e+00
1.900000e-07	-8.967673e-03	7.159450e+00
2.000000e-07	-1.098978e-02	7.074242e+00
2.100000e-07	-1.182985e-02	6.969555e+00
2.200000e-07	-1.055961e-02	6.874263e+00
2.300000e-07	-8.107077e-03	6.780500e+00
2.400000e-07	-7.842603e-03	6.704764e+00
2.500000e-07	-8.079322e-03	6.558923e+00
2.600000e-07	-9.638133e-03	6.432053e+00
2.700000e-07	-8.331779e-03	6.275796e+00
2.800000e-07	-8.317715e-03	6.200526e+00
2.900000e-07	-8.594816e-03	6.083813e+00
3.000000e-07	-8.629182e-03	5.980976e+00
3.100000e-07	-7.938219e-03	5.855794e+00
3.200000e-07	-6.156784e-03	5.655713e+00
3.300000e-07	-7.403567e-03	5.548871e+00
3.400000e-07	-7.683086e-03	5.431635e+00
3.500000e-07	-8.472479e-03	5.305216e+00
3.600000e-07	-7.567557e-03	5.127873e+00
3.700000e-07	-8.584326e-03	4.887895e+00
3.800000e-07	-7.389671e-03	4.779525e+00
3.900000e-07	-7.233253e-03	4.652710e+00
4.000000e-07	-5.877325e-03	4.495816e+00
4.100000e-07	-5.506232e-03	4.399525e+00
4.200000e-07	-6.635879e-03	4.242735e+00
4.300000e-07	-7.415831e-03	4.021584e+00
4.400000e-07	-7.821365e-03	3.926941e+00
4.500000e-07	-7.209734e-03	3.749451e+00
4.600000e-07	-6.721106e-03	3.623032e+00
4.700000e-07	-5.734992e-03	3.456317e+00
4.800000e-07	-5.788191e-03	3.314439e+00
4.900000e-07	-5.246734e-03	3.128869e+00
5.000000e-07	-5.858759e-03	2.981629e+00
5.100000e-07	-6.234592e-03	2.824131e+00
5.200000e-07	-6.579588e-03	2.686368e+00
5.300000e-07	-6.165883e-03	2.469817e+00
5.400000e-07	-6.123808e-03	2.307893e+00
5.500000e-07	-5.463408e-03	2.147547e+00
5.600000e-07	-4.683825e-03	2.032081e+00
5.700000e-07	-4.925999e-03	1.897315e+00
5.800000e-07	-5.598538e-03	1.700418e+00
5.900000e-07	-5.838870e-03	1.467265e+00
6.000000e-07	-5.998638e-03	1.307850e+00
6.100000e-07	-5.663951e-03	1.130500e+00
6.200000e-07	-5.708800e-03	9.294224e-01
6.300000e-07	-5.497847e-03	7.504734e-01
6.400000e-07	-5.037348e-03	6.421302e-01
6.500000e-07	-4.653399e-03	4.237318e-01
6.600000e-07	-4.837540e-03	2.957984e-01
6.700000e-07	-5.740158e-03	1.053904e-01
6.800000e-07	1.348068e-03	-7.215396e-02
6.900000e-07	5.226209e-03	-2.184964e-01
7.000000e-07	-3.648185e-03	-3.658172e-01
7.100000e-07	4.200122e-03	-4.826305e-01
7.200000e-07	-2.076051e-03	-7.226127e-01
7.300000e-07	-4.623363e-04	-8.010515e-01
7.400000e-07	-3.726725e-03	-9.672946e-01
7.500000e-07	2.478536e-02	-1.113714e+00
7.600000e-07	1.238576e-01	-1.249055e+00
7.700000e-07	-4.511473e-02	-1.502032e+00
7.800000e-07	-3.092250e-02	-1.762711e+00
7.900000e-07	-2.654588e-02	-1.906214e+00
8.000000e-07	-1.377370e-01	-2.051604e+00
8.100000e-07	1.017764e-01	-2.198976e+00
8.200000e-07	2.131212e-02	-2.316238e+00
