# 250604_14:07:02.495044
t	CH1	CH2
0.000000e+00	-1.017926e-02	1.088082e+01
1.000000e-08	-7.776955e-03	1.083979e+01
2.000000e-08	-7.344255e-03	1.080616e+01
3.000000e-08	-6.096472e-03	1.073705e+01
4.000000e-08	-7.268076e-03	1.064935e+01
5.000000e-08	-7.343200e-03	1.059571e+01
6.000000e-08	-8.292740e-03	1.049092e+01
7.000000e-08	-8.718228e-03	1.043890e+01
8.000000e-08	-7.614974e-03	1.034558e+01
9.000000e-08	-9.053670e-03	1.030182e+01
1.000000e-07	-6.280099e-03	1.022816e+01
1.100000e-07	-7.588419e-03	1.010242e+01
1.200000e-07	-5.904945e-03	1.004026e+01
1.300000e-07	-8.453004e-03	9.946105e+00
1.400000e-07	-7.891446e-03	9.799267e+00
1.500000e-07	-7.743672e-03	9.692505e+00
1.600000e-07	-7.735657e-03	9.587270e+00
1.700000e-07	-6.817774e-03	9.472922e+00
1.800000e-07	-7.674880e-03	9.387633e+00
1.900000e-07	-5.666187e-03	9.272444e+00
2.000000e-07	-7.263581e-03	9.217631e+00
2.100000e-07	-6.407421e-03	9.049841e+00
2.200000e-07	-8.966683e-03	8.881074e+00
2.300000e-07	-7.948405e-03	8.737155e+00
2.400000e-07	-7.808587e-03	8.630294e+00
2.500000e-07	-5.701400e-03	8.494026e+00
2.600000e-07	-5.781499e-03	8.399160e+00
2.700000e-07	-6.746853e-03	8.218897e+00
2.800000e-07	-6.393795e-03	8.093453e+00
2.900000e-07	-7.648265e-03	7.985656e+00
3.000000e-07	-7.284590e-03	7.778186e+00
3.100000e-07	-8.277187e-03	7.661214e+00
3.200000e-07	-6.272703e-03	7.470395e+00
3.300000e-07	-6.325613e-03	7.271468e+00
3.400000e-07	-6.084105e-03	7.083073e+00
3.500000e-07	-6.763643e-03	6.975627e+00
3.600000e-07	-7.135053e-03	6.779633e+00
3.700000e-07	-6.933792e-03	6.588239e+00
3.800000e-07	-6.584641e-03	6.429264e+00
3.900000e-07	-6.834569e-03	6.241791e+00
4.000000e-07	-7.267344e-03	6.123871e+00
4.100000e-07	-5.220731e-03	5.935027e+00
4.200000e-07	-6.306221e-03	5.705150e+00
4.300000e-07	-6.373095e-03	5.516951e+00
4.400000e-07	-7.127265e-03	5.345580e+00
4.500000e-07	-6.408490e-03	5.137130e+00
4.600000e-07	-6.408477e-03	4.894870e+00
4.700000e-07	-6.093454e-03	4.673944e+00
4.800000e-07	-6.424280e-03	4.474973e+00
4.900000e-07	-6.306554e-03	4.368078e+00
5.000000e-07	-5.705711e-03	4.094952e+00
5.100000e-07	-7.113572e-03	3.914921e+00
5.200000e-07	-6.293408e-03	3.725023e+00
5.300000e-07	-6.312818e-03	3.557552e+00
5.400000e-07	-5.224002e-03	3.314526e+00
5.500000e-07	-6.031486e-03	3.094924e+00
5.600000e-07	-6.202460e-03	2.885023e+00
5.700000e-07	-5.798753e-03	2.757550e+00
