# 250604_11:38:48.938281
t	CH1	CH2
0.000000e+00	-1.167726e-02	8.474218e+00
1.000000e-08	-9.347332e-03	8.463190e+00
2.000000e-08	-1.001261e-02	8.431110e+00
3.000000e-08	-1.144580e-02	8.389974e+00
4.000000e-08	-1.231315e-02	8.336850e+00
5.000000e-08	-1.189920e-02	8.314770e+00
6.000000e-08	-1.102707e-02	8.209532e+00
7.000000e-08	-1.213310e-02	8.135919e+00
8.000000e-08	-1.116422e-02	8.104692e+00
9.000000e-08	-1.136871e-02	7.989675e+00
1.000000e-07	-1.028072e-02	7.935974e+00
1.100000e-07	-1.339391e-02	7.843721e+00
1.200000e-07	-1.323964e-02	7.778501e+00
1.300000e-07	-1.325646e-02	7.705319e+00
1.400000e-07	-1.231440e-02	7.642112e+00
1.500000e-07	-1.234248e-02	7.567371e+00
1.600000e-07	-1.338944e-02	7.392167e+00
1.700000e-07	-1.069323e-02	7.312795e+00
1.800000e-07	-1.122486e-02	7.200581e+00
1.900000e-07	-1.154238e-02	7.134370e+00
2.000000e-07	-1.473203e-02	7.030108e+00
2.100000e-07	-1.426398e-02	6.925874e+00
2.200000e-07	-1.396742e-02	6.851187e+00
2.300000e-07	-1.171790e-02	6.797974e+00
2.400000e-07	-1.238787e-02	6.620158e+00
2.500000e-07	-1.218319e-02	6.472740e+00
2.600000e-07	-1.180448e-02	6.355930e+00
2.700000e-07	-1.151428e-02	6.292760e+00
2.800000e-07	-1.168801e-02	6.177903e+00
2.900000e-07	-1.239397e-02	6.051686e+00
3.000000e-07	-1.172241e-02	5.989401e+00
3.100000e-07	-1.129260e-02	5.809658e+00
3.200000e-07	-1.126084e-02	5.632139e+00
3.300000e-07	-1.113628e-02	5.506321e+00
3.400000e-07	-1.161511e-02	5.389006e+00
3.500000e-07	-1.101900e-02	5.253210e+00
3.600000e-07	-1.060975e-02	5.064325e+00
3.700000e-07	-8.885504e-03	4.904345e+00
3.800000e-07	-8.206716e-03	4.765476e+00
3.900000e-07	-8.571627e-03	4.631607e+00
4.000000e-07	-8.570379e-03	4.504240e+00
4.100000e-07	-8.530252e-03	4.439478e+00
4.200000e-07	-8.939712e-03	4.239203e+00
4.300000e-07	-8.905161e-03	4.022160e+00
4.400000e-07	-1.002289e-02	3.914365e+00
4.500000e-07	-8.382052e-03	3.756006e+00
4.600000e-07	-6.867788e-03	3.632132e+00
4.700000e-07	-5.773177e-03	3.505815e+00
4.800000e-07	-5.457116e-03	3.281741e+00
4.900000e-07	-6.503043e-03	3.177451e+00
5.000000e-07	-6.471477e-03	2.990055e+00
5.100000e-07	-7.447887e-03	2.873711e+00
5.200000e-07	-7.727426e-03	2.735875e+00
5.300000e-07	-7.934853e-03	2.486389e+00
5.400000e-07	-7.350952e-03	2.346446e+00
5.500000e-07	-6.409287e-03	2.159526e+00
5.600000e-07	-5.309960e-03	2.042208e+00
5.700000e-07	-5.514617e-03	1.934838e+00
5.800000e-07	-5.415020e-03	1.755340e+00
5.900000e-07	-5.896496e-03	1.545470e+00
6.000000e-07	-5.820527e-03	1.357525e+00
6.100000e-07	-5.981089e-03	1.201055e+00
6.200000e-07	-5.999815e-03	9.785788e-01
6.300000e-07	-5.772736e-03	8.105993e-01
6.400000e-07	-5.473765e-03	6.222344e-01
6.500000e-07	-5.447930e-03	4.947859e-01
6.600000e-07	-4.827205e-03	3.779411e-01
6.700000e-07	-3.562715e-03	1.874489e-01
6.800000e-07	-1.553605e-03	-2.052519e-02
6.900000e-07	6.318600e-03	-1.783421e-01
7.000000e-07	-3.911997e-03	-3.367640e-01
7.100000e-07	1.148611e-03	-4.310251e-01
7.200000e-07	-2.005911e-03	-6.244262e-01
7.300000e-07	-1.221872e-03	-7.994211e-01
7.400000e-07	-6.949635e-03	-8.873155e-01
7.500000e-07	4.414135e-03	-1.054032e+00
7.600000e-07	7.747669e-02	-1.208950e+00
7.700000e-07	7.178879e-02	-1.400774e+00
7.800000e-07	-8.841614e-02	-1.643479e+00
7.900000e-07	8.623614e-03	-1.873506e+00
8.000000e-07	-8.925883e-02	-2.019876e+00
8.100000e-07	-7.912862e-02	-2.125793e+00
8.200000e-07	1.678861e-01	-2.242008e+00
8.300000e-07	-1.558640e-01	-2.412904e+00
8.400000e-07	2.406413e-02	-2.598371e+00
8.500000e-07	1.642554e-01	-2.705187e+00
8.600000e-07	-2.028736e-01	-2.833006e+00
8.700000e-07	1.018628e-01	-3.033629e+00
8.800000e-07	2.612476e-02	-3.179926e+00
8.900000e-07	-1.739354e-01	-3.347316e+00
9.000000e-07	1.700358e-01	-3.504763e+00
9.100000e-07	-1.106376e-01	-3.611479e+00
9.200000e-07	1.688810e-02	-3.829421e+00
9.300000e-07	1.370108e-01	-3.999872e+00
9.400000e-07	-1.536964e-01	-4.126240e+00
9.500000e-07	1.224187e-01	-4.283611e+00
9.600000e-07	-1.241040e-01	-4.399924e+00
9.700000e-07	-3.340733e-03	-4.526319e+00
9.800000e-07	8.118746e-02	-4.685512e+00
9.900000e-07	-9.278627e-02	-4.863608e+00
1.000000e-06	1.647989e-01	-4.988871e+00
1.010000e-06	-1.352873e-01	-5.095841e+00
1.020000e-06	7.685304e-02	-5.284090e+00
1.030000e-06	1.182973e-02	-5.442533e+00
1.040000e-06	-1.115412e-01	-5.610326e+00
1.050000e-06	1.178629e-01	-5.745741e+00
1.060000e-06	-1.121502e-01	-5.852534e+00
1.070000e-06	1.132160e-01	-5.949374e+00
1.080000e-06	-2.532775e-02	-6.033558e+00
1.090000e-06	-4.270145e-03	-6.211403e+00
1.100000e-06	3.242143e-02	-6.357822e+00
1.110000e-06	-7.128350e-02	-6.442061e+00
