# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_309960.26783141046
# 
Resultados:
# tau_ns_=_(1.42+/-0.03)e+02
# dphi_rad_=_6.55+/-0.00
# SAR_W/g_=_550.62+/-4.67
# Hc_kA/m_=_12.71+/-0.14
# Mr_A/m_=_154.11+/-3.49
# Magnetizacion_max_emu/g_=_41.2+/-0.8
# Suceptibilidad_a_M=0_=_(1.432+/-0.048)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_100dA_100Mss_bobN14Z0006.txt		20.00	145.47	12.84	38460.00	397.58	3.099402e+05	1.587737e+01	6.558701e+00	539.43	145.159209	4517	1.333e-02
300kHz_100dA_100Mss_bobN14Z0007.txt		20.00	147.80	12.97	38460.00	395.45	3.099402e+05	1.580831e+01	6.561225e+00	541.88	146.561236	4517	1.350e-02
300kHz_100dA_100Mss_bobN14Z0008.txt		20.00	147.86	12.77	38460.00	404.59	3.099402e+05	1.618249e+01	6.556619e+00	545.75	144.008288	4517	1.364e-02
300kHz_100dA_100Mss_bobN14Z0009.txt		20.00	149.53	12.92	38460.00	400.80	3.099402e+05	1.604391e+01	6.560853e+00	549.23	146.355952	4517	1.352e-02
300kHz_100dA_100Mss_bobN14Z0010.txt		20.00	148.84	12.78	38460.00	406.08	3.099402e+05	1.617864e+01	6.556435e+00	545.26	143.904708	4517	1.359e-02
300kHz_100dA_100Mss_bobN14Z0011.txt		20.00	149.03	12.85	38460.00	403.39	3.099402e+05	1.610662e+01	6.556852e+00	543.64	144.137690	4517	1.366e-02
300kHz_100dA_100Mss_bobN14Z0012.txt		20.00	150.17	12.87	38460.00	401.50	3.099402e+05	1.606915e+01	6.559426e+00	547.34	145.564810	4517	1.369e-02
300kHz_100dA_100Mss_bobN14Z0013.txt		20.00	150.71	12.84	38460.00	403.45	3.099402e+05	1.613596e+01	6.556994e+00	544.90	144.215823	4517	1.385e-02
300kHz_100dA_100Mss_bobN14Z0014.txt		20.00	151.70	12.78	38460.00	408.30	3.099402e+05	1.632001e+01	6.556385e+00	549.92	143.877652	4517	1.393e-02
300kHz_100dA_100Mss_bobN14Z0015.txt		20.00	152.36	12.80	38460.00	408.88	3.099402e+05	1.638083e+01	6.556137e+00	551.48	143.741510	4517	1.408e-02
300kHz_100dA_100Mss_bobN14Z0016.txt		20.00	151.25	12.74	38460.00	409.52	3.099402e+05	1.635100e+01	6.553716e+00	545.72	142.402643	4517	1.393e-02
300kHz_100dA_100Mss_bobN14Z0017.txt		20.00	152.30	12.88	38460.00	404.05	3.099402e+05	1.622044e+01	6.557596e+00	548.93	144.549602	4517	1.400e-02
300kHz_100dA_100Mss_bobN14Z0018.txt		20.00	154.31	13.04	38460.00	402.58	3.099402e+05	1.619400e+01	6.561543e+00	555.71	146.741696	4517	1.411e-02
300kHz_100dA_100Mss_bobN14Z0019.txt		20.00	155.29	12.79	38460.00	412.87	3.099402e+05	1.659924e+01	6.555824e+00	558.21	143.566930	4517	1.438e-02
300kHz_100dA_100Mss_bobN14Z0020.txt		20.00	154.81	12.74	38460.00	410.20	3.099402e+05	1.644536e+01	6.555875e+00	553.14	143.595756	4517	1.429e-02
