# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_309927.80094418116
# Promedio de 35 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-2.384327e-09	-3.408613e-10	-1.985681e+01	-3.669997e+01
1.000000e-08	-2.383732e-09	-3.461585e-10	-1.985185e+01	-3.661353e+01
2.000000e-08	-2.382152e-09	-3.488742e-10	-1.983869e+01	-3.653998e+01
3.000000e-08	-2.379428e-09	-3.493593e-10	-1.981601e+01	-3.648378e+01
4.000000e-08	-2.375778e-09	-3.466468e-10	-1.978561e+01	-3.644550e+01
5.000000e-08	-2.371441e-09	-3.365781e-10	-1.974949e+01	-3.642147e+01
6.000000e-08	-2.366365e-09	-3.141536e-10	-1.970722e+01	-3.640398e+01
7.000000e-08	-2.360411e-09	-3.086680e-10	-1.965763e+01	-3.638196e+01
8.000000e-08	-2.353459e-09	-3.773430e-10	-1.959973e+01	-3.634220e+01
9.000000e-08	-2.345431e-09	-4.547840e-10	-1.953288e+01	-3.627092e+01
1.000000e-07	-2.336356e-09	-3.928132e-10	-1.945730e+01	-3.615555e+01
1.100000e-07	-2.326496e-09	-2.228147e-10	-1.937519e+01	-3.598644e+01
1.200000e-07	-2.316002e-09	-2.672656e-10	-1.928779e+01	-3.575847e+01
1.300000e-07	-2.304558e-09	-4.769436e-10	-1.919249e+01	-3.547206e+01
1.400000e-07	-2.292000e-09	-3.716791e-10	-1.908791e+01	-3.513379e+01
1.500000e-07	-2.278601e-09	-1.904328e-10	-1.897632e+01	-3.475617e+01
1.600000e-07	-2.264324e-09	-3.801362e-10	-1.885741e+01	-3.435687e+01
1.700000e-07	-2.248814e-09	-4.471916e-10	-1.872825e+01	-3.395724e+01
1.800000e-07	-2.232258e-09	-2.235167e-10	-1.859037e+01	-3.358037e+01
1.900000e-07	-2.214962e-09	-2.894957e-10	-1.844633e+01	-3.324885e+01
2.000000e-07	-2.196804e-09	-3.987588e-10	-1.829511e+01	-3.298250e+01
2.100000e-07	-2.177818e-09	-2.294430e-10	-1.813699e+01	-3.279625e+01
2.200000e-07	-2.158170e-09	-2.478487e-10	-1.797336e+01	-3.269850e+01
2.300000e-07	-2.137803e-09	-3.314868e-10	-1.780374e+01	-3.269006e+01
2.400000e-07	-2.116722e-09	-1.988045e-10	-1.762818e+01	-3.276382e+01
2.500000e-07	-2.094990e-09	-2.472814e-10	-1.744719e+01	-3.290518e+01
2.600000e-07	-2.072450e-09	-3.593190e-10	-1.725948e+01	-3.309332e+01
2.700000e-07	-2.049078e-09	-2.584658e-10	-1.706484e+01	-3.330291e+01
2.800000e-07	-2.025098e-09	-2.291616e-10	-1.686513e+01	-3.350641e+01
