# 250604_14:09:54.227837
t	CH1	CH2
0.000000e+00	-5.777434e-03	1.314000e+01
1.000000e-08	-7.007093e-03	1.310748e+01
2.000000e-08	-8.472178e-03	1.306587e+01
3.000000e-08	-8.489875e-03	1.305313e+01
4.000000e-08	-5.447907e-03	1.297853e+01
5.000000e-08	-6.313242e-03	1.289592e+01
6.000000e-08	-4.736908e-03	1.281124e+01
7.000000e-08	-6.526806e-03	1.273898e+01
8.000000e-08	-5.290138e-03	1.266839e+01
9.000000e-08	-8.353283e-03	1.260363e+01
1.000000e-07	-6.828379e-03	1.250937e+01
1.100000e-07	-7.191443e-03	1.239218e+01
1.200000e-07	-5.850966e-03	1.229842e+01
1.300000e-07	-4.631447e-03	1.221168e+01
1.400000e-07	-6.391647e-03	1.205794e+01
1.500000e-07	-5.326435e-03	1.199106e+01
1.600000e-07	-8.828233e-03	1.187336e+01
1.700000e-07	-6.371637e-03	1.175853e+01
1.800000e-07	-7.884188e-03	1.161114e+01
1.900000e-07	-6.419947e-03	1.145484e+01
2.000000e-07	-5.862652e-03	1.130850e+01
2.100000e-07	-6.007602e-03	1.117266e+01
2.200000e-07	-6.195665e-03	1.104789e+01
2.300000e-07	-7.350806e-03	1.089050e+01
2.400000e-07	-6.905793e-03	1.078110e+01
2.500000e-07	-7.969066e-03	1.062318e+01
2.600000e-07	-6.990120e-03	1.044581e+01
2.700000e-07	-6.936362e-03	1.028841e+01
2.800000e-07	-4.980842e-03	1.011099e+01
2.900000e-07	-6.838222e-03	9.941999e+00
3.000000e-07	-5.917239e-03	9.762131e+00
3.100000e-07	-7.033024e-03	9.573656e+00
3.200000e-07	-7.746274e-03	9.414780e+00
3.300000e-07	-6.385240e-03	9.208858e+00
3.400000e-07	-7.579266e-03	9.066314e+00
3.500000e-07	-6.202382e-03	8.845287e+00
3.600000e-07	-7.394218e-03	8.626887e+00
3.700000e-07	-6.077743e-03	8.449388e+00
3.800000e-07	-6.964292e-03	8.289436e+00
3.900000e-07	-7.236222e-03	8.035938e+00
4.000000e-07	-7.413256e-03	7.807310e+00
4.100000e-07	-7.288537e-03	7.634204e+00
4.200000e-07	-6.475308e-03	7.394632e+00
4.300000e-07	-6.088898e-03	7.173644e+00
4.400000e-07	-6.058866e-03	6.954123e+00
4.500000e-07	-6.504157e-03	6.752019e+00
4.600000e-07	-6.323927e-03	6.519947e+00
4.700000e-07	-7.055706e-03	6.270014e+00
4.800000e-07	-7.129882e-03	6.079964e+00
4.900000e-07	-6.851494e-03	5.819383e+00
5.000000e-07	-6.765373e-03	5.617777e+00
5.100000e-07	-6.025832e-03	5.324173e+00
5.200000e-07	-6.599533e-03	5.150488e+00
5.300000e-07	-5.874105e-03	4.807956e+00
5.400000e-07	-6.921877e-03	4.586723e+00
5.500000e-07	-6.221649e-03	4.373647e+00
5.600000e-07	-7.119489e-03	4.083494e+00
5.700000e-07	-6.554720e-03	3.859358e+00
5.800000e-07	-6.486396e-03	3.658882e+00
5.900000e-07	-6.927368e-03	3.356178e+00
6.000000e-07	-6.324150e-03	3.143090e+00
6.100000e-07	-7.267592e-03	2.903115e+00
6.200000e-07	-6.549283e-03	2.709856e+00
6.300000e-07	-6.555880e-03	2.355849e+00
6.400000e-07	-5.610299e-03	2.124115e+00
6.500000e-07	-6.723947e-03	1.893585e+00
6.600000e-07	-6.328622e-03	1.598878e+00
6.700000e-07	-6.996715e-03	1.357217e+00
6.800000e-07	-6.126012e-03	1.113987e+00
6.900000e-07	-5.509412e-03	7.877507e-01
7.000000e-07	-5.338886e-03	5.461942e-01
7.100000e-07	-4.423617e-03	2.930812e-01
7.200000e-07	-2.135481e-03	1.995350e-02
7.300000e-07	8.909693e-03	-2.122468e-01
7.400000e-07	-1.248468e-03	-4.221268e-01
7.500000e-07	1.578401e-05	-6.638399e-01
7.600000e-07	3.541164e-04	-9.143138e-01
7.700000e-07	4.869634e-04	-1.125944e+00
7.800000e-07	-4.939931e-03	-1.430128e+00
7.900000e-07	2.124808e-02	-1.631683e+00
8.000000e-07	1.018405e-01	-1.841678e+00
8.100000e-07	4.399821e-02	-2.054778e+00
8.200000e-07	-1.045660e-01	-2.461644e+00
8.300000e-07	4.718175e-02	-2.735342e+00
8.400000e-07	-5.757220e-02	-2.975499e+00
8.500000e-07	-8.962546e-02	-3.230607e+00
8.600000e-07	-1.409219e-01	-3.440080e+00
8.700000e-07	1.973238e-01	-3.568948e+00
8.800000e-07	-1.268331e-01	-3.818704e+00
8.900000e-07	1.067266e-01	-4.081714e+00
9.000000e-07	7.955028e-02	-4.272816e+00
9.100000e-07	-1.704610e-01	-4.543816e+00
9.200000e-07	1.923769e-01	-4.768030e+00
9.300000e-07	-1.850576e-01	-5.047557e+00
9.400000e-07	1.214336e-01	-5.291199e+00
9.500000e-07	-4.494389e-02	-5.535399e+00
9.600000e-07	-1.378836e-02	-5.819505e+00
9.700000e-07	1.584447e-01	-6.000056e+00
9.800000e-07	-1.605908e-01	-6.289661e+00
9.900000e-07	1.736120e-01	-6.541672e+00
1.000000e-06	-1.709704e-01	-6.715251e+00
