# 250604_14:21:19.429880
t	CH1	CH2
0.000000e+00	-6.379558e-03	4.495708e+00
1.000000e-08	-5.776113e-03	4.482628e+00
2.000000e-08	-6.344884e-03	4.463104e+00
3.000000e-08	-6.926671e-03	4.420529e+00
4.000000e-08	-7.729924e-03	4.400528e+00
5.000000e-08	-5.614321e-03	4.409999e+00
6.000000e-08	-5.767076e-03	4.369500e+00
7.000000e-08	-6.409085e-03	4.337967e+00
8.000000e-08	-6.887805e-03	4.326317e+00
9.000000e-08	-5.625086e-03	4.265253e+00
1.000000e-07	-4.954273e-03	4.261094e+00
1.100000e-07	-6.659853e-03	4.167335e+00
1.200000e-07	-6.801318e-03	4.113127e+00
1.300000e-07	-6.813315e-03	4.063554e+00
1.400000e-07	-6.057880e-03	4.020499e+00
1.500000e-07	-5.315625e-03	3.949975e+00
1.600000e-07	-5.978744e-03	3.966792e+00
1.700000e-07	-6.692530e-03	3.906286e+00
1.800000e-07	-5.229408e-03	3.832580e+00
1.900000e-07	-6.291346e-03	3.821496e+00
2.000000e-07	-6.226342e-03	3.757893e+00
2.100000e-07	-7.202243e-03	3.704834e+00
2.200000e-07	-7.156051e-03	3.682579e+00
2.300000e-07	-6.027783e-03	3.621551e+00
2.400000e-07	-4.928799e-03	3.589992e+00
2.500000e-07	-5.583692e-03	3.548415e+00
2.600000e-07	-6.111247e-03	3.483679e+00
2.700000e-07	-6.215043e-03	3.368309e+00
2.800000e-07	-6.387252e-03	3.314232e+00
2.900000e-07	-4.786562e-03	3.230000e+00
3.000000e-07	-5.329503e-03	3.149470e+00
3.100000e-07	-5.388285e-03	3.106209e+00
3.200000e-07	-5.922445e-03	3.063104e+00
3.300000e-07	-5.599322e-03	3.008495e+00
3.400000e-07	-5.383965e-03	2.915759e+00
3.500000e-07	-6.025980e-03	2.872055e+00
3.600000e-07	-6.029771e-03	2.790026e+00
3.700000e-07	-5.244975e-03	2.717420e+00
3.800000e-07	-5.228241e-03	2.592653e+00
3.900000e-07	-5.723088e-03	2.577761e+00
4.000000e-07	-5.678738e-03	2.481153e+00
4.100000e-07	-5.975646e-03	2.378474e+00
4.200000e-07	-5.413098e-03	2.286284e+00
4.300000e-07	-6.383360e-03	2.240023e+00
4.400000e-07	-5.558961e-03	2.178415e+00
4.500000e-07	-5.038857e-03	2.115180e+00
4.600000e-07	-3.583581e-03	2.030475e+00
4.700000e-07	-5.016684e-03	1.969421e+00
4.800000e-07	-5.426726e-03	1.875202e+00
4.900000e-07	-6.071389e-03	1.811946e+00
5.000000e-07	-5.281861e-03	1.713335e+00
5.100000e-07	-4.762331e-03	1.581528e+00
5.200000e-07	-5.212627e-03	1.537841e+00
5.300000e-07	-5.828328e-03	1.421522e+00
5.400000e-07	-5.755270e-03	1.346887e+00
5.500000e-07	-4.691591e-03	1.260606e+00
5.600000e-07	-4.460396e-03	1.168892e+00
5.700000e-07	-5.450130e-03	1.063251e+00
5.800000e-07	-4.853581e-03	9.182380e-01
5.900000e-07	-5.164350e-03	8.115763e-01
6.000000e-07	-4.083541e-03	7.494185e-01
6.100000e-07	-4.250553e-03	6.937591e-01
6.200000e-07	-4.208177e-03	6.099700e-01
6.300000e-07	-4.756553e-03	5.262881e-01
6.400000e-07	-4.977525e-03	4.205788e-01
6.500000e-07	-4.453551e-03	3.789898e-01
6.600000e-07	-4.237451e-03	2.541013e-01
6.700000e-07	-4.216011e-03	1.394431e-01
6.800000e-07	-2.976339e-03	5.964877e-02
6.900000e-07	-6.646464e-04	-3.103175e-02
7.000000e-07	1.113827e-03	-8.478710e-02
7.100000e-07	1.497333e-04	-1.895250e-01
7.200000e-07	-1.083919e-03	-2.526605e-01
7.300000e-07	-1.198919e-03	-3.584474e-01
7.400000e-07	-3.153772e-03	-3.794776e-01
7.500000e-07	-2.652559e-03	-4.735930e-01
7.600000e-07	1.203697e-02	-5.484024e-01
7.700000e-07	4.663824e-02	-6.610843e-01
7.800000e-07	2.095907e-02	-7.583012e-01
7.900000e-07	-4.843899e-02	-9.037123e-01
8.000000e-07	-5.961549e-02	-9.699791e-01
8.100000e-07	8.101490e-03	-1.033685e+00
8.200000e-07	4.528543e-02	-1.053137e+00
8.300000e-07	-1.061363e-01	-1.148777e+00
8.400000e-07	-2.023572e-02	-1.314671e+00
8.500000e-07	5.515134e-02	-1.400458e+00
8.600000e-07	-4.723531e-02	-1.502116e+00
8.700000e-07	-9.103658e-02	-1.590576e+00
8.800000e-07	2.619062e-02	-1.673586e+00
8.900000e-07	2.104123e-03	-1.765296e+00
9.000000e-07	-7.002017e-02	-1.832062e+00
9.100000e-07	1.923579e-02	-1.929396e+00
9.200000e-07	2.002867e-02	-1.958420e+00
9.300000e-07	-4.635505e-02	-2.022107e+00
9.400000e-07	3.967133e-02	-2.157926e+00
9.500000e-07	-7.883391e-05	-2.220479e+00
9.600000e-07	-6.196091e-02	-2.294769e+00
9.700000e-07	2.546791e-02	-2.391029e+00
9.800000e-07	4.309486e-03	-2.472711e+00
9.900000e-07	-5.369697e-03	-2.527350e+00
1.000000e-06	3.374952e-02	-2.600502e+00
1.010000e-06	-1.269144e-02	-2.693092e+00
1.020000e-06	-1.736026e-02	-2.759397e+00
1.030000e-06	2.668298e-02	-2.790529e+00
1.040000e-06	-2.278381e-02	-2.853112e+00
1.050000e-06	-1.871880e-02	-2.979429e+00
1.060000e-06	2.094289e-02	-3.075843e+00
1.070000e-06	1.860114e-03	-3.148398e+00
1.080000e-06	1.309939e-02	-3.221004e+00
1.090000e-06	-3.439626e-04	-3.242080e+00
1.100000e-06	-9.142459e-03	-3.314816e+00
1.110000e-06	-1.610322e-03	-3.399424e+00
1.120000e-06	-9.550584e-04	-3.490604e+00
1.130000e-06	1.016374e-03	-3.515187e+00
1.140000e-06	-5.592078e-03	-3.536922e+00
1.150000e-06	6.080196e-03	-3.600450e+00
1.160000e-06	1.304102e-02	-3.611027e+00
1.170000e-06	-2.247245e-04	-3.653638e+00
1.180000e-06	-5.879134e-03	-3.766950e+00
1.190000e-06	-6.364643e-03	-3.831483e+00
1.200000e-06	-4.962328e-03	-3.906291e+00
1.210000e-06	9.052604e-03	-3.978949e+00
1.220000e-06	3.302262e-04	-4.038975e+00
1.230000e-06	-3.374019e-04	-4.000551e+00
1.240000e-06	7.372827e-03	-4.044179e+00
1.250000e-06	-3.094867e-03	-4.126815e+00
1.260000e-06	3.435176e-03	-4.149373e+00
1.270000e-06	-4.723679e-03	-4.209501e+00
1.280000e-06	-4.118810e-03	-4.190579e+00
1.290000e-06	4.068633e-03	-4.241579e+00
1.300000e-06	3.696766e-03	-4.324293e+00
1.310000e-06	3.343045e-03	-4.317342e+00
1.320000e-06	-7.883967e-04	-4.336969e+00
1.330000e-06	-1.081140e-03	-4.378974e+00
1.340000e-06	-8.975529e-04	-4.369975e+00
1.350000e-06	-2.826638e-04	-4.399525e+00
1.360000e-06	-4.089827e-04	-4.410051e+00
1.370000e-06	1.093525e-03	-4.411027e+00
1.380000e-06	2.436780e-03	-4.453528e+00
1.390000e-06	3.893707e-03	-4.433262e+00
1.400000e-06	5.835054e-04	-4.453141e+00
1.410000e-06	-1.271950e-03	-4.486415e+00
1.420000e-06	-1.941949e-03	-4.545740e+00
1.430000e-06	-8.439743e-04	-4.556998e+00
1.440000e-06	2.493847e-03	-4.496421e+00
1.450000e-06	8.014267e-04	-4.587349e+00
1.460000e-06	1.793880e-03	-4.559472e+00
1.470000e-06	1.289650e-03	-4.570426e+00
1.480000e-06	1.374422e-03	-4.601125e+00
1.490000e-06	-5.509453e-05	-4.540500e+00
1.500000e-06	-2.128465e-03	-4.601473e+00
1.510000e-06	-7.425685e-04	-4.560546e+00
1.520000e-06	5.540492e-04	-4.560025e+00
1.530000e-06	1.591492e-03	-4.559029e+00
1.540000e-06	1.130697e-03	-4.568371e+00
1.550000e-06	5.822341e-05	-4.559472e+00
1.560000e-06	-6.551816e-04	-4.549021e+00
1.570000e-06	7.365390e-04	-4.559492e+00
1.580000e-06	2.200826e-04	-4.484817e+00
1.590000e-06	-7.424782e-04	-4.517318e+00
1.600000e-06	2.415703e-04	-4.476158e+00
1.610000e-06	5.026475e-04	-4.471708e+00
1.620000e-06	1.899969e-03	-4.441209e+00
1.630000e-06	-9.509844e-04	-4.430557e+00
1.640000e-06	-1.311584e-03	-4.420076e+00
1.650000e-06	-1.228407e-03	-4.400028e+00
1.660000e-06	1.153171e-04	-4.379499e+00
1.670000e-06	-2.365118e-04	-4.397973e+00
1.680000e-06	2.781396e-04	-4.337895e+00
1.690000e-06	5.444835e-04	-4.304392e+00
1.700000e-06	-3.189989e-04	-4.294735e+00
1.710000e-06	-6.900040e-04	-4.253183e+00
1.720000e-06	-1.932407e-03	-4.190025e+00
1.730000e-06	-2.076650e-03	-4.190074e+00
1.740000e-06	-9.458207e-04	-4.136441e+00
1.750000e-06	1.282370e-03	-4.076282e+00
1.760000e-06	6.042684e-04	-4.053158e+00
1.770000e-06	7.265934e-04	-4.030053e+00
1.780000e-06	-3.521320e-04	-3.978499e+00
1.790000e-06	-8.260549e-04	-3.937421e+00
1.800000e-06	-1.177619e-03	-3.895863e+00
1.810000e-06	-1.338762e-03	-3.830056e+00
1.820000e-06	-1.361838e-03	-3.747916e+00
1.830000e-06	-4.591798e-04	-3.664634e+00
1.840000e-06	-4.323255e-04	-3.610551e+00
1.850000e-06	-8.884824e-04	-3.588971e+00
1.860000e-06	-1.122819e-03	-3.536346e+00
1.870000e-06	-1.554622e-03	-3.474215e+00
1.880000e-06	-1.723608e-03	-3.432054e+00
1.890000e-06	-9.779811e-04	-3.366871e+00
1.900000e-06	-7.661986e-04	-3.305766e+00
1.910000e-06	-1.108524e-03	-3.241654e+00
1.920000e-06	-1.185805e-03	-3.181075e+00
1.930000e-06	-1.483254e-03	-3.107341e+00
1.940000e-06	-2.590391e-03	-3.022154e+00
1.950000e-06	-2.215038e-03	-2.916449e+00
1.960000e-06	-1.284689e-03	-2.833804e+00
1.970000e-06	-1.883921e-03	-2.780024e+00
1.980000e-06	-9.772217e-04	-2.758897e+00
1.990000e-06	-2.400331e-03	-2.653182e+00
2.000000e-06	-2.223799e-03	-2.630500e+00
2.010000e-06	-1.824775e-03	-2.527362e+00
2.020000e-06	-1.855044e-03	-2.460184e+00
2.030000e-06	-1.170484e-03	-2.409478e+00
2.040000e-06	-2.169689e-03	-2.287362e+00
2.050000e-06	-1.987995e-03	-2.210104e+00
2.060000e-06	-3.025671e-03	-2.073937e+00
2.070000e-06	-3.137427e-03	-2.012126e+00
2.080000e-06	-3.029387e-03	-1.968946e+00
2.090000e-06	-1.789892e-03	-1.914338e+00
2.100000e-06	-2.141952e-03	-1.790650e+00
2.110000e-06	-1.310418e-03	-1.718943e+00
2.120000e-06	-1.691292e-03	-1.662254e+00
